,index,race_track_content
0,Albany,"Beautiful beaches are tucked in around the southern coastline of Albany and long, warm days allow you to be active in the beautiful natural environment. Whether you wish to swim or snorkel in a sheltered turquoise cove or laze on the deck of your accommodation overlooking the view- you can explore, discover and relax. City streets are a buzz with shopping, great food and festivities and tourist attractions have their doors wide open welcoming visitors into the historic heart of the city, the rustic charm of the rural outskirts, and the pristine nature of the national parks. To learn more of this beautiful part of Australia, click here. "
1,Albury,"The Albury Racing Club conducts sixteen (16) thoroughbred race meetings each year with the feature event the Albury Gold Cup run in late March. The Albury Council website is a good guide to what the locality has to offer. The Gold Cup is one of NSW country racing’s signature events with a massive crowd that congregate from around Australia. The ever-expanding Cup carnival is run over two days, usually the last Thursday and Friday of March, with the Cup on the latter day. The Albury Gold Cup is an ideal town for a family/friends getaway with ample quality accommodation as well as other worthwhile events and activities. "
2,Ararat,"In 1998 the Wimmera Racing Club took control of racing at Ararat Racecourse with a view to helping the historic course survive. The race course is situated 200 kms west of Melbourne and has a history dating back to 1857. The track has a 2000 metre circumference and the home straight is 350 metres long and allows all horses to have a fair chance of winning. Wimmera Racing Club hosts the Ararat Gold Cup day at Ararat Racecourse in November each year. The day is the richest race day in the Wimmera and is likely to see 2,000 people at the course. Also at Ararat there are a number of meetings throughout the year which are well attended. "
3,Armidale,"Armidale, the town locals claim has a city ambience but a country lifestyle. Set in the heart of the New England Tablelands, Armidale is ideally located midway between, Sydney and Brisbane on the New England Highway, and two and a half hours from the Coast along the scenic touring route Waterfall Way. In late 2008, John Cannon retired as Armidale President after 30 years administrating the club. This is your link to learn all there is to Thrive in Armidale. The Armidale Gold Cup is run in mid March each year. "
4,Bairnsdale,"Bairnsdale races seven times a year, five of which have national TAB coverage. The Bairnsdale region is the western gateway to the Lakes and Wilderness region of East Gippsland. The area still retains the quiet country pace and fresh air that you don’t get in a bigger city. Not quite city, not quite country. On the banks of the Mitchell River, Bairnsdale manages to retain a unique atmosphere as the commercial and administrative hub of the region. The Bairnsdale Cup is run on the first Sunday of October and creates tremendous interest in the locality. And then the club does it in style – Live Bands, Fashion on the Field, Free Childrens Activities, Roving Entertainers and Mini Marquee Packages. With of course, great racing. "
5,Balaklava,"The Balaklava Racing Club was founded in 1903 and is situated at the Balaklava Racecourse, 1hr from Adelaide. The race course is large with chutes for the start of races of distances 1,000 metres, 1,050 metres and 1,400 metres. Most races are held on the track proper. The Race Club holds many race days at the racecourse throughout the year with the highlight being The Balaklava Cup which is the largest race meeting held outside the metropolitan area in South Australia. The cup will be held on Wednesday 2nd September 2009 and annually attracts crowds above 12,000. "
6,Ballarat,"Ballarat Turf Club is situated at the Dowling Forest Racecourse, 113km west of Melbourne and houses races from 1,000m through to steeple racing at 3,400m. The race course consists of an old and a new track and not only is the home of Ballarat races but the Race Club also caters for 300 horses in training. Capacity field is 18 runners and with a straight of 450m inside barriers can be an advantage for several distances between 1,400 to 2,200m. The main race day is the Ballarat Cup which attracts around 17,000 people and occurs in November. The club also hosts a number of other popular events with highlights in March and July. "
7,Ballarat Synthetic,"Ballarat Turf Club is situated at the Dowling Forest Racecourse, 113km west of Melbourne and houses races from 1,000m through to steeple racing at 3,400m. The race course consists of an old and a new track and not only is the home of Ballarat races but the Race Club also caters for 300 horses in training. Capacity field is 18 runners and with a straight of 450m inside barriers can be an advantage for several distances between 1,400 to 2,200m. The main race day is the Ballarat Cup which attracts around 17,000 people and occurs in November. The club also hosts a number of other popular events with highlights in March and July. "
8,Ballina,"Ballina Jockey Club is located on the beautiful Far North Coast of NSW, approximately an hour south of the Gold Coast. The Jockey Club is located only 2km away from the town centre. Ballina itself is adjacent to 32km of white sandy beaches with crystal clear waterways. Ballina Jockey Club is a major regional training facility with approximately 200 horses in work at any one time and holds 17 race meetings per year. The XXXX Ballina Cup is run in mid September each year attracting larges fields and crowds. Other major feature days include the Byron Bay Cup, Boxing Day Cup and the Iris Nielsen/Sky Gold/Coolmore Ladies Invitation only Race Day in which attracts some of the best Lady Jockeys from around Australia. "
9,Bathurst,"Whether you spend an hour or a day in the region, travelling by yourself or in a group, there’s plenty to see and do at Bathurst. If your interests range from gold rush to motor racing or the beginning of life to family memoirs the attractions of the region are just as varied. They will entertain and educate while taking you on an adventure from city streets to country lanes, from the skies above to underground caverns. The Bathurst Cup is run in mid-February, usually on a Sunday. "
10,Belmont,"Belmont Park Racecourse is Perth Racing’s Winter racecourse. It has a circumference of 1,699 metres with a 333 metre straight. The track is situated in a prime riverfront position, with the facilities nestled between the city and the water. Belmont’s facilities are fully enclosed, ensuring racegoers are warm and comfortable while enjoying spectacular views of first class thoroughbred racing against the river backdrop. "
11,Benalla,"Considered one of Victoria’s most picturesque courses, the Benalla racecourse has an ambience and charm all of its own. The club races 11 times a year with its premier race day being the Benalla Gold Cup which is always held on the first Sunday in October. This meeting is featured nationally and is a highlight on the region’s social calendar with first class racing action and great entertainment on offer. The backdrop of the magnificent shady elm trees and the new playground facility makes it a beautiful location for families to pack a picnic lunch and enjoy a fun filled day at the races when holidaying in the area. "
12,Bendigo,"Bendigo Jockey Club, was formed in 1854 and is situated at the Bendigo Racecourse about 150 Kms from Melbourne. In 1998 the complete track was reconstructed and now the race course has a circumference of 1,995 metres and a straight of 400 metres. There are two starting chutes on the track, one holding starts over 900 metres, 1,000 metes, 1,100 metres and the other holding starts over 1,600 metres. The racecourse holds races up to 2,400 metres. The RaceClub holds around 25 racing meetings per year with the main events being the Marong Cup, Elmore Cup on in March, and the very popular Bendigo Cup to be held later in the year. "
13,Berrigan,"Berrigan Gold Cup. Click here for more info Berrigan has an all weather grass track with an aluminium Sterline running rail and railed sand training track. The track boasts an 1800m chute and a unique 950m chute. The club stages three race meetings per year, the highlight being the Floorworld Berrigan Gold Cup run on Victoria Derby Day. Berrigan has a population of approx 1000 and the town and surrounding district swells to accommodate some 6,000 plus visitors on Cup Day. The town of Berrigan and regional Shire Towns and beyond prosper from accommodation, tourism and business generated over this fabulous weekend. A carnival atmosphere on the lawns beneath shade lures business, social groups, members and patrons to gather in Marquees or picnic in the surrounds. It is very much a traditional family day with entertainment, champagne and bar facilities, bookmakers, on course TAB, Fashions on the Field and competitive racing attracting horses from all over the region and north-eastern Victoria and beyond. "
14,Bordertown,"The Bordertown Racing Club commenced racing on the current track in 1945. Previously it raced on two tracks in the town which are now residential areas. Horse racing has been in this area constantly for 140 years. The complete history of this Club can be found on pages 809 – 811 of the historical publication of this area; “TATIARA” – the first 140 years published in 1985. Bordertown is located on the Dukes Highway (A8) and is approx. 3 hours drive from Adelaide and 5 hours drive from Melbourne. It makes an ideal stop over if you travel between the two cities. The Bordertown Cup is run on a Sunday in December each year. The club has five race meetings a year. The Bordertown Racecourse is more than just a track – it’s a great community space for events and celebrations. The racecourse has played host to weddings, birthdays, picnics and all sorts of events and has a variety of equipment and party supplies available for hire. "
